a collection|sold out|T:in under 24 hours
the designer duo|experimented|L:besides the designer duo beloved monochromatic pieces;T:this season
the designer duo|experimented|with colour;T:this season
the designer|used|metallic fabrics;T:this season
evening wear|featuring|party-ready dresses
namrata joshipura|focused|on evening wear
namrata joshipura collection|was ruled|by a colour palette of magentas
namrata joshipura collection|was ruled|by a colour palette of greens
namrata joshipura collection|was ruled|by a colour palette of pinks
namrata joshipura collection|was ruled|by a colour palette of electric blues
the established fashion platform|is finding|the established fashion platform challenging to meet the established fashion platform own set standards
the absence of a finale spectacle , the established fashion platform is finding the established fashion platform|to meet|the established fashion platform own set standards
the environment|owing|from budget cuts
a lineup of established labels|kept|the crowd immersed;T:on the first day
the name|suggests|inspired by the sartorial ways of the streets of new delhi
label|to do|with people, urban needs, social commentary;T:while staying in the prt space
label|'s|to do with people, urban needs, social commentary while staying in the prt space
belted jackets|worn|L:over lehengas
belted jackets|worn|L:over high waist trousers
belted jackets|worn|L:over crop tops
belted jackets|worn|L:over saris
the designers|showcased|the designers trans - seasonal lineup of belted jackets
gaurav gupta|were|amongst the designers
pieces|were|more relevant to kind of men
the designer duo|added|variations of chintz;to the lineup
applique work|came through|L:in soft pinks
prints|came through|L:in soft pinks
the designers|seen|L:at the show
shyamal shodhan of shyamal & bhumika|paid|an ode;to the parisian skies
lehengas and more|were seen|L:on the runway
latest collection|was obviously appealing|to wedding-hopping crowd
gauri & nainika|ashish n soni presented|a joint show under the same sponsor;T:for the last show of the day
the two labels|went|high glam
kanika goyal 's|went|with asymmetric skirts , jackets with removable sleeves , skirt - trouser hybrids
diaphanous pleated tulle|lent|to a joint show
sharp cuts|play|for the dapper models
modern collection|catered|to the sneaker collecting
kanika goyal's collaboration with adidas originals|saw|a fast-paced, modern collection catered to the sneaker collecting, phone-obsessed millennials of today
unusual panels|slashing|through the print;T:this season
the maximalist|likes drawing|attention;in any room
the maximalist|likes|drawing attention in any room
kind of men|like|to look after men bodies
the hot fix rhinestone embellishments|remind|one of the past
your senses|are assaulted|L:on all counts
a blacked out show area|was swathed|L:in pink
rows of neatly tied up favours|sat|on rows of neatly tied up favours
arora|was also|in a lighter, easier frame of mind
arora|usually have stressed out|arora
people came to associate us with greys for winter|explained|arora
i just wanted to go with a bold pink|explained|arora
i just wanted to change that perception|explained|arora
people came to associate us with navy blues for winter|explained|arora
people|came|to associate us with greys for winter
people|came|to associate us with navy blues for winter
people|to associate|us;with greys for winter
people|to associate|us;with navy blues for winter
the collection|comprised|of standard pro jackets;L:in scottish tartans in hues of sudden citrus bursts of orange
the collection|comprised|of standard pro jackets;L:in scottish tartans in hues of pinks
3 d applique - d , prints of flowers|sewn|onto the checks
arora|can visit|a concept with differentiating perspective;T:no longer
a perfectionist|sees|things;till arora can no longer visit a concept with differentiating perspective
the designer|introduced|large tote bags;T:this season
joshipura's collection|now was|the designer's perspective on the influence of technology in our lives
artificial intelligence|looking|more human;T:every day increasingly dependent on machines
metallic accents|cut|into trousers, electric blue
joshipura's show|brought|the season;to a close
