celebrity-favourite label puma 's shoes|come in with|firm fan
designers|showcase trans-seasonal|designers
rakesh thakore|'s|collection
belted jackets|of lineup|high waist trousers
belted jackets|of lineup|crop tops
lineup|keep|crowd immersed
david abraham|have establish David Abraham as|label
david abraham|have establish need as|label
# sadaksmart|be|'s collection suggests
label|as need|social commentary staying in prt space
# sadaksmart|be as|'s collection name
name|be suggest 's|collection
rajesh pratap singh|be amongst|designers seen at show
payal pratap|be amongst|designers seen at show
diana penty|sashay in|embellished skirt worn with velvet cowl top
designer duo beloved monochromatic pieces|add|variations of chintz
season|add|variations of chintz
colour|add|variations of chintz
designer duo beloved monochromatic pieces|add variation to|lineup
season|add variation to|lineup
colour|add variation to|lineup
gaurav gupta|be amongst|pratap designers seen at show
designer duo|experiment besides|designer duo beloved monochromatic pieces
applique work|come through in|soft pinks
french latest collection|be appeal to|wedding-hopping crowd
translation|be appeal to|wedding-hopping crowd
shyamal 's latest collection|be appeal to|wedding-hopping crowd
bhumika 's latest collection|be appeal to|wedding-hopping crowd
lehengas|be|seen on runway
dainty lace saris|be|seen on runway
cocktail dresses|be|seen on runway
designers trans-seasonal lineup|wear over|saris
bhumika shodhan|pay ode to|parisian skies
shyamal shodhan|pay ode to|parisian skies
designer duo|experiment|season
prints work|come through in|soft pinks
designers|see at|show
bhumika shodhan|pay|ode
shyamal shodhan|pay|ode
season|experiment besides|designer duo
designer duo|experiment with|colour
season|experiment with|colour
designers|showcase|designers
shyamal|'s|latest collection
ashish n soni|present joint for|last show of day
ashish n soni|present show for|last show of day
vaani kapoor|close|joint show in tuxedo by ashish n soni
joint show|close|joint show in tuxedo by ashish n soni
joint show|in|tuxedo by ashish n soni
last show|present|joint show under same sponsor
ashish n soni|present|joint show under same sponsor
day|present|joint show under same sponsor
two labels|go glam with|black tie dressing
two labels|unify under|monochrome
two labels|go glam under|monochrome
lineup|unify under|monochrome
ashish n soni|go with|sharp cuts for dapper models
ashish n soni|present show under|same sponsor
nainika n soni|present show under|same sponsor
diaphanous pleated tulle|lend Nainika for|large florals
diaphanous pleated tulle|lend Gauri for|large florals
ashish n soni|present joint of|day
ashish n soni|present show of|day
two labels|go|high glam with black tie
two labels|keep|lineup unified under monochrome
diaphanous pleated tulle|lend Nainika to|joint show
diaphanous pleated tulle|lend Gauri to|joint show
nainika love|lend Nainika to|joint show
nainika love|lend Gauri to|joint show
soni|go for|dapper models
shyamal 's latest collection|be appeal to|wedding-hopping crowd
nainika n soni|present under|joint show
vaani kapoor|open|joint show
ashish n soni|present under|joint show
last show|present under|joint show
soni|go with|sharp cuts
shyamal|'s|latest collection
kanika goyal|go with|jackets with removable sleeves slashing through print season
kanika goyal|go with|asymmetric skirts
kanika goyal 's collaboration|see|fast-paced modern collection catered to sneaker collecting
last day|have|strongest lineup of days
short four-day long amazon india fashion week|have|strongest lineup of days
fast-paced modern collection|cater to|sneaker collecting
goyal|lose in|use of outlandish fabrics
skirt-trouser hybrids|slash with|removable sleeves
fitted dresses|slash with|removable sleeves
kanika goyal|create|structured formals
fast-paced modern collection|see cater 's|collaboration with adidas originals
jackets|slash through|print
unusual panels|slash through|print
removable sleeves|slash through|print
fitted dresses|slash through|print
skirt-trouser hybrids|slash through|print
design|be inspire by|abstract art
fitted dresses|with|unusual panels
standout|be show from|day
kanika goyal|lose in|use of outlandish
jackets|slash through with|asymmetric skirts
kanika goyal|'s|collaboration with adidas originals
design|imagine|colour palette
dresses|with|unusual panels slashing through print season
jackets|slash|season
unusual panels|slash|season
removable sleeves|slash|season
fitted dresses|slash|season
skirt-trouser hybrids|slash|season
wear|lose in|use
kanika goyal|lose in for|evening wear
jackets|with|removable sleeves
skirt-trouser hybrids|with|unusual panels slashing
likes drawing attention|in|room kanika goyal 's
holographic dress|stand out kanika in|in winner for maximalist
lineup|stand out kanika in|in winner for maximalist
siddhartha tytler|make comeback with|siddhartha tytler collection f.u.s.s
renewed comeback season|with|siddhartha tytler collection f.u.s.s
tytler|'s|lineup of bomber jackets with oversized
kanika goyal|create|structured formals for evening wear
siddhartha tytler|'s|lineup of bomber jackets
siddhartha tytler|make|renewed comeback
one holographic dress|in|lineup
bomber jackets|with|oversized sleeves
lineup|with|oversized sleeves
kanika goyal|lose for|evening wear
kanika goyal|create formal for|evening wear
siddhartha tytler|make comeback|season
structured formals|lose 's|kanika goyal
kanika goyal|lose in|use of outlandish fabrics
evening wear|lose in|use of outlandish fabrics
kanika goyal|be in in|room
attention|be in in|room
pantsuits|be|tytler 's lineup of bomber jackets with oversized sleeves
pantsuits|be|with oversized sleeves interesting
lineup|be|with oversized sleeves interesting
siddhartha tytler|be|hot fix rhinestone embellishments
pantsuits|be interesting 's|lineup of bomber jackets with oversized sleeves
pantsuits|lineup with|oversized sleeves
pantsuits|be interesting with|oversized sleeves
siddhartha tytler 's lineup|be interesting with|oversized sleeves
designer|walk out|white pantsuit bringing
white pantsuit|bring show to|close
neha kapur|friend of|designer
friend|walk out|white pantsuit
menswear|be|inarguably stronger in comparison than womenswear with pieces
past|in|not-so-nostalgic way
siddhartha tytler|'s|lineup of bomber jackets with oversized sleeves
pantsuits|lineup of|bomber jackets
menswear|be stronger than|womenswear with pieces
bomber jackets|with|oversized sleeves
menswear|be stronger in|comparison than womenswear with pieces
white pantsuit|bring|show
neha kapur|walk out|white pantsuit bringing
former miss india|walk out|white pantsuit bringing
friend|walk out|white pantsuit bringing
favours|sit on|rows of neatly tied
favours|sit on|rows of favours
arora|have stress out to|maximum
white pantsuit|bring show to|close
your senses|be assault on|counts
models|be glad|backstage
show area|be swathe in|pink
maximum|be in|also lighter easier
whose pre-show jitters|have|arora
neha kapur|friend of|designer
white pantsuit|bring|show
designer|walk out|white pantsuit
maximum|be|lighter
maximum|be in|also lighter easier frame of mind
arora|be in|also lighter easier frame of mind
whose pre-show jitters have|be in|also lighter easier frame of mind
3d applique-d|print of|flowers sewn onto checks
winter flowers|print of|flowers sewn onto checks
arora|explain with|greys for winter
arora|explain with|bold pink
arora|go with|bold pink
winter flowers|embroider|prints of flowers sewn onto checks
winter flowers|embroider|3d applique-d
collection|comprise of|standard pro jackets scottish tartans hues
standard pro jackets|in|hues of pinks of
flowers|sew onto|checks
perception|go with|bold pink
concept|with|differentiating perspective
arora|be|perfectionist
maximum|be|lighter
arora|be|lighter
greys|with associate|arora
arora|visit|concept
arora|have stress out to|maximum
arora|visit concept with|differentiating perspective
collection|comprise in|hues pinks of
arora|differentiate|perspective
pappabubble|make on|live hard candy
capella group|make|live hard candy
candy makers|make on|live hard candy
candy makers|make|capella group
pappabubble|make candy on|one side of ramp
capella group|provide soundtrack on|one side of ramp
capella group|make candy on|one side of ramp
candy makers|make candy on|one side of ramp
candy makers|make capella group on|one side of ramp
pappabubble|make candy on|capella group
capella group|provide|live soundtrack on other
namrata joshipura 's collection|be|now designer 's perspective on influence of technology in our lives
designer|'s|take on matter
designer|'s|perspective on influence of technology in lives
capella group|provide on|live soundtrack
metallic accents|cut into|trousers electric
namrata joshipura|'s|collection now
designer|introduce|large tote bags
namrata joshipura 's 's lineup|be draw parallel|day increasingly dependent on machines
artificial intelligence|look be|day
close-cut pile fabrics|in|metallic accents
plenty|in|metallic accents
ramp|of side|capella group
designer|introduce tote bag|season
collection|perspective 's|designer
gowns|make for|futuristic collection
party-ready sequinned pantsuits|in|tumblr pink
trousers|into blue|gowns
artificial intelligence|lineup 's|namrata joshipura 's
namrata joshipura 's|'s|lineup
pile fabrics|cut into|trousers
namrata joshipura 's 's lineup|be draw parallel on|machines
